x y rho u v
0 0 1.016136e+00 -1.689629e-03 -1.664725e-03
1 0 1.016135e+00 -1.686042e-03 -1.664417e-03
2 0 1.016133e+00 -1.687872e-03 -1.665216e-03
3 0 1.016131e+00 -1.683462e-03 -1.666196e-03
4 0 1.016130e+00 -1.685048e-03 -1.666807e-03
5 0 1.016128e+00 -1.680210e-03 -1.667472e-03
6 0 1.016126e+00 -1.681428e-03 -1.668164e-03
7 0 1.016124e+00 -1.676850e-03 -1.668746e-03
8 0 1.016123e+00 -1.678182e-03 -1.669163e-03
9 0 1.016122e+00 -1.672975e-03 -1.669597e-03
10 0 1.016120e+00 -1.674679e-03 -1.669961e-03
11 0 1.016119e+00 -1.668916e-03 -1.670282e-03
12 0 1.016118e+00 -1.670806e-03 -1.671072e-03
13 0 1.016117e+00 -1.664647e-03 -1.671614e-03
14 0 1.016116e+00 -1.666720e-03 -1.672305e-03
15 0 1.016114e+00 -1.660794e-03 -1.672745e-03
16 0 1.016113e+00 -1.662441e-03 -1.673276e-03
17 0 1.016111e+00 -1.656955e-03 -1.673746e-03
18 0 1.016110e+00 -1.658011e-03 -1.674195e-03
19 0 1.016109e+00 -1.652461e-03 -1.674786e-03
20 0 1.016107e+00 -1.653524e-03 -1.675300e-03
21 0 1.016105e+00 -1.647826e-03 -1.675939e-03
22 0 1.016104e+00 -1.649059e-03 -1.676604e-03
23 0 1.016102e+00 -1.643190e-03 -1.677308e-03
24 0 1.016101e+00 -1.644524e-03 -1.678173e-03
25 0 1.016100e+00 -1.638713e-03 -1.679049e-03
26 0 1.016099e+00 -1.640073e-03 -1.679872e-03
27 0 1.016098e+00 -1.635178e-03 -1.680415e-03
28 0 1.016097e+00 -1.636195e-03 -1.680832e-03
29 0 1.016096e+00 -1.632218e-03 -1.681058e-03
30 0 1.016095e+00 -1.633316e-03 -1.681373e-03
31 0 1.016094e+00 -1.629084e-03 -1.681915e-03
32 0 1.016093e+00 -1.630429e-03 -1.682432e-03
33 0 1.016092e+00 -1.625911e-03 -1.682788e-03
34 0 1.016092e+00 -1.627314e-03 -1.683454e-03
35 0 1.016091e+00 -1.622956e-03 -1.683725e-03
36 0 1.016090e+00 -1.624081e-03 -1.684150e-03
37 0 1.016089e+00 -1.620012e-03 -1.684258e-03
38 0 1.016088e+00 -1.621376e-03 -1.684387e-03
39 0 1.016088e+00 -1.617591e-03 -1.684615e-03
40 0 1.016088e+00 -1.618724e-03 -1.684591e-03
41 0 1.016087e+00 -1.615443e-03 -1.684597e-03
42 0 1.016087e+00 -1.616487e-03 -1.684447e-03
43 0 1.016086e+00 -1.613366e-03 -1.684537e-03
44 0 1.016086e+00 -1.614613e-03 -1.684497e-03
45 0 1.016085e+00 -1.611579e-03 -1.684287e-03
46 0 1.016085e+00 -1.612933e-03 -1.684102e-03
47 0 1.016085e+00 -1.609827e-03 -1.684000e-03
48 0 1.016085e+00 -1.611640e-03 -1.684013e-03
49 0 1.016085e+00 -1.608760e-03 -1.684333e-03
50 0 1.016085e+00 -1.610556e-03 -1.684662e-03
51 0 1.016085e+00 -1.608583e-03 -1.685175e-03
52 0 1.016086e+00 -1.610532e-03 -1.685797e-03
53 0 1.016086e+00 -1.608528e-03 -1.686153e-03
54 0 1.016086e+00 -1.610740e-03 -1.686607e-03
55 0 1.016086e+00 -1.608934e-03 -1.687157e-03
